Character|Sentence
 Subaru Natsuki |" That desperation of yours is
fanatical like a demon. "
 Subaru Natsuki | Stop! 
 Beatrice | You can't keep sleeping forever, I suppose. 
 Subaru Natsuki | Bombardier! 
 Beatrice |" I came against my will because
it's the designated time, "
 Beatrice | yet you seem awfully unconcerned. 
 Subaru Natsuki | Falling asleep on the fourth day, 
 Subaru Natsuki | what kind of reckless idiot am I? 
 Beatrice | Quit your grumbling, I suppose. 
 Beatrice | Just sit wherever you want. 
 Subaru Natsuki | The forbidden archive? 
 Subaru Natsuki | Did you carry me in here while I slept? 
 Beatrice |" I'd rather not stay in that room filled
with your stench, I suppose. "
 Beatrice | The forbidden library is the only place for me. 
 Beatrice | You need to observe proper manners, I suppose. 
 Subaru Natsuki | Beatrice, I'm sure I'm wrong, 
 Subaru Natsuki |" but you didn't hold my hand
while I was asleep, did you? "
 Beatrice | You're wrong, indeed. 
 Beatrice |" Even if Bubby asked me to,
I would refuse, I suppose. "
 Subaru Natsuki | Flat-out denial, huh? 
 Subaru Natsuki |" I'm not sure what you mean
by ""proper manners""... "
 Subaru Natsuki | So, hey, are you— 
 Beatrice | You're annoying me with all your questions! 
 Beatrice | Just be quiet, I suppose. 
 Beatrice | Calling. 
 Subaru Natsuki | Huh? 
 Beatrice | I've been summoned, I suppose. 
 Beatrice | Oh, right, you're here. I forgot, I suppose. 
 Subaru Natsuki | H-Hey, hold on! 
 Subaru Natsuki | If you go out there now... 
 Beatrice | I don't care if you want to stay here. 
 Beatrice | You'll be safe here, I suppose. 
 Subaru Natsuki | Damn it! What the hell is this? 
 Subaru Natsuki | Did I 
 Subaru Natsuki | make it through the fourth night? 
 Subaru Natsuki | And I thought it was so far away. 
 Subaru Natsuki | It was that easy... 
 Emilia | Subaru? 
 Subaru Natsuki | Emilia? 
 Emilia | Subaru, where have you been? 
 Subaru Natsuki | Oh, I was just... 
 Emilia | You know... 
 Emilia | No, never mind. 
 Emilia | Come with me. 
 Subaru Natsuki | Huh? Where are we going? 
 Subaru Natsuki | Emilia-tan? 
 Subaru Natsuki | Why are you making that face? 
 Subaru Natsuki | Everything will be fine now. 
 Subaru Natsuki | Right? I'm alive, and you're... 
 Subaru Natsuki | Oh, I know! Let's go to the village! 
 Subaru Natsuki | There's so much I want to do and tell you! 
 Subaru Natsuki | So much has happened! 
 Emilia | Subaru... 
 Subaru Natsuki | Emilia? 
 Subaru Natsuki | How... 
 Subaru Natsuki | Why is Rem dead? 
 Ram | Don't touch her! 
 Ram | Don't touch Rem... 
 Ram | Don't touch my little sister! 
 Roswaal L. Mathers | She died of weakness. 
 Roswaal L. Mathers | It was as if she merely fell asleep. 
 Roswaal L. Mathers | The method was more of a curse than a spell. 
 Subaru Natsuki | I thought it was Rem who used that curse. 
 Subaru Natsuki | So Rem isn't the shaman? 
 Roswaal L. Mathers |" My dear guest, have you any idea
what might have occurred? "
 Roswaal L. Mathers |" After this has happened to a dear
member of my staff, "
 Roswaal L. Mathers | I seem to be a little bit angry. 
 Emilia | Subaru, 
 Emilia | if you know anything, tell us. 
 Subaru Natsuki | I want to spill it all and get it off my chest. 
 Subaru Natsuki | Ow! 
 Ram | If you know something, spill it all! 
 Subaru Natsuki | Wait, Ram! That's... 
 Beatrice | I keep my promises. 
 Beatrice | As long as he remains in this mansion, 
 Beatrice | I am contracted to protect him, I suppose. 
 Ram | Beatrice-sama? 
 Roswaal L. Mathers |" Roswaal, he spent last night in the
forbidden library, I suppose. "
 Roswaal L. Mathers | So he surely had nothing to do with— 
 Roswaal L. Mathers |" There is no further need to emphasize
the situation at hand. "
 Roswaal L. Mathers | However, to guard him with your life, 
 Roswaal L. Mathers | you must have taken quite a liking to him. 
 Beatrice |" Save the jokes for your makeup
and weird fetishes, I suppose. "
 Ram | None of that even matters! 
 Ram | Get out of the way. 
 Ram | Let me through. 
 Ram | I must avenge Rem. 
 Ram | If you know anything, tell me. 
 Ram | Help me. 
 Ram | Help Rem! 
 Emilia | I'm sorry, Ram. Despite all this, 
 Emilia | I choose to trust Subaru. 
 Emilia | Subaru, please. 
 Emilia | If you can save Ram... If you can save Rem, 
 Emilia | please do. 
 Subaru Natsuki | I'm sorry. 
 Emilia | Subaru! 
 Ram | I'm going to kill you! 
 Subaru Natsuki | I ran. 
 Subaru Natsuki | I ran away. 
 Subaru Natsuki | I ran away from them. 
 Subaru Natsuki | I can't go back there again. 
 Subaru Natsuki | What choice did I have? What could I... 
 Subaru Natsuki | And I was 
 Subaru Natsuki | having so much fun! 
 Subaru Natsuki | This looks like the place where I died. 
 Subaru Natsuki | Where I died? 
 Subaru Natsuki | If I die... 
 Subaru Natsuki | Will I be saved from this whole situation? 
 Subaru Natsuki | Of course... If I die, everything will change. 
 Subaru Natsuki |" If I struggled and fought so much,
only to end up here, "
 Subaru Natsuki | then what's the point? 
 Subaru Natsuki | The cliff... 
 Subaru Natsuki |" If I close my eyes and take
one step, it'll all be over. "
 Subaru Natsuki | What will happen to me if I die again? 
 Subaru Natsuki | It's just one more step... 
 Subaru Natsuki | I can't even... 
 Subaru Natsuki | I can't even do something so simple. 
 Beatrice | I finally found you. 
 Subaru Natsuki | Why... 
 Beatrice | What, I suppose? 
 Subaru Natsuki | Why did you come for me? I... 
 Beatrice | The contract I entered into was to protect you. 
 Subaru Natsuki |" I thought you were only supposed to be
my bodyguard until this morning. "
 Beatrice | You must be mistaken, I suppose. 
 Beatrice | I don't remember discussing a time limit. 
 Beatrice |" Clinging to hope only serves your
own convenience, I suppose. "
 Beatrice | What was lost can't be reclaimed. 
 Beatrice |" You'll have no more chances to explain
yourself to the older sister. "
 Beatrice | You threw that away. 
 Beatrice |" No matter which is lost, those sisters won't
ever be complete again, I suppose. "
 Subaru Natsuki | But I cared about those two, 
 Subaru Natsuki | and I wanted to protect them! 
 Beatrice | What do you know about them, I suppose? 
 Beatrice |" No matter which is lost, they won't
be restored to what they were. "
 Beatrice | They can't be. 
 Subaru Natsuki | So in the end, 
 Subaru Natsuki |" I was just making a selfish, disgraceful
fuss, not knowing anything? "
 Beatrice | At the least, 
 Beatrice |" you need to die where I can't see you,
or I'll have bad dreams, I suppose. "
 Beatrice | So I'll help you escape this domain. 
 Subaru Natsuki | Come to think of it, back then, 
 Subaru Natsuki | someone was holding both my hands. 
 Subaru Natsuki | Ram... Rem... 
 Subaru Natsuki | If they couldn't bear to see me suffer, 
 Subaru Natsuki | and held both my hands... 
 Subaru Natsuki | If that was the kind of people they are, 
 Subaru Natsuki | how can I leave them? 
 Ram | I'm going to kill you! 
 Subaru Natsuki | I heard a voice filled with hatred. 
 Subaru Natsuki | But more than that... 
 Subaru Natsuki | Her cries won't leave my mind. 
 Subaru Natsuki |" I've always been the type to drift toward
whichever path was easiest. "
 Subaru Natsuki |" Hey, Subaru, you're thinking about
something pretty stupid. "
 Subaru Natsuki | And after I managed to save this life... 
 Subaru Natsuki | That's right. I saved my life, so... 
 Subaru Natsuki |" What's wrong with taking the path that's
easiest, that will let me live longer? "
 Subaru Natsuki | I'll decide how I use my life! 
 Beatrice | You were too slow. 
 Ram | I finally found you. 
 Ram | I won't let you get away. 
 Beatrice | Stay back, I suppose. 
 Beatrice | As long as my contract exists, 
 Beatrice | I won't hold back, not even against you. 
 Ram |" And you, Beatrice-sama, seem to forget
that we aren't in the mansion now. "
 Ram |" We're in the forest, away from
the forbidden library. "
 Ram | Are you certain you can protect him from me? 
 Subaru Natsuki | Boing! 
 Subaru Natsuki | Oh, yeah, that feels good! 
 Beatrice |" Wh-Wh-Wh-What are you doing?!
D-Do you want to die?! "
 Subaru Natsuki | Don't be dumb. 
 Subaru Natsuki | I don't want to die in the slightest. 
 Subaru Natsuki |" I'm fine with dying just once,
at the end of a long life. "
 Subaru Natsuki | That's how I really feel. 
 Ram | You have guts. 
 Ram | You finally accept your fate? 
 Subaru Natsuki | I wouldn't call it that. 
 Subaru Natsuki | If anything, 
 Subaru Natsuki | I'd say I've made up my mind. 
 Subaru Natsuki |" Sorry... I caused a lot of grief for
you guys by being such a loser. "
 Ram | You really do know something about Rem? 
 Subaru Natsuki | No, sorry, but I honestly don't know a thing. 
 Subaru Natsuki | Frankly, there's too much I don't know. 
 Subaru Natsuki | But... 
 Subaru Natsuki |" I decided to learn more about
the things I don't know. "
 Ram | How can you say that now? 
 Ram | Rem is already dead. 
 Ram | What can you do by learning anything now?! 
 Subaru Natsuki |" I won't make any cool statements
about what I'll be able to do. "
 Subaru Natsuki |" After all, this is what happened
when I couldn't do anything... "
 Subaru Natsuki |" I know better than anyone that my words
aren't convincing in the least. "
 Subaru Natsuki | But I do remember... 
 Subaru Natsuki | I know parts of you two that you've forgotten! 
 Ram | What do you know about Rem and me?! 
 Subaru Natsuki | You're right. 
 Subaru Natsuki | I don't know anything that's really important. 
 Subaru Natsuki | But you don't know, either, do you?! 
 Ram | Know what? 
 Subaru Natsuki | That I love you guys! 
 Beatrice | Wait! 
 Subaru Natsuki | This is something only I can do! 
 Ram | I'm going to kill you! 
 Subaru Natsuki | I'm going to save you! 
 EXTRA | Natsuki Subaru's start 
 Subaru Natsuki | I'm back here again... 
 Rem |" Sister, Sister... It appears our
guest is still half-asleep. "
 Ram | Rem, Rem... 
 Ram |" For one so young, it's quite
sad how out of it he is. "
 Rem | What is the matter, sir? 
 Rem | Do you feel unwell? 
 Ram | What's wrong, sir? 
 Ram | Do you have a chronic illness flaring up? 
 Subaru Natsuki | Let me see your hands. 
 Subaru Natsuki | So it's true... 
 Subaru Natsuki | I wasn't mistaken... 
 Rem |" No, sir. I think you are
mistaken about everything. "
 Ram |" No, sir. I think your
very birth was a mistake. "
 Subaru Natsuki |" When I think about what's to come,
I can't laugh off that comment. "
 Subaru Natsuki | But right now, even that's a good feeling. 
 Rem | Sister, Sister... 
 Rem |" Could our guest be a troubled man,
deriving pleasure from torture? "
 Ram | Rem, Rem, our guest appears to be 
 Ram | a pervert who's turned on by insults. 
 Subaru Natsuki | Sorry to do that out of the blue, 
 Subaru Natsuki | but I trust you both. 
 Subaru Natsuki | Let's be friends, okay? 
 Emilia | It was awfully noisy, so I came to check. 
 Emilia | Subaru, I'm glad you seem well. 
 Subaru Natsuki | A second ago, I had a lot on my mind, 
 Subaru Natsuki | but seeing you blew it all away, Emilia-tan! 
 Subaru Natsuki |" I guess you were the wonder
drug that my heart needed. "
 Emilia | Sorry, I have no idea what you're saying. 
 Emilia | But good morning. I'm glad you're well. 
 Subaru Natsuki | Yeah, good morning. 
 Subaru Natsuki | Okay, might as well get started... 
 Subaru Natsuki | Hire me to work in this mansion! 
 Subaru Natsuki | I must clear two broad conditions, 
 Subaru Natsuki | in order to survive a week in Roswaal's mansion. 
 Subaru Natsuki | First is to earn the trust of the staff here. 
 Subaru Natsuki | If I don't gain those girls' favor, 
 Subaru Natsuki | they're liable to kill me, to silence me. 
 Subaru Natsuki | That goes not only for Rem and Ram, 
 Subaru Natsuki | but for their master, Roswaal, as well. 
 Subaru Natsuki |" And second is to defeat the shaman
that attacks Roswaal's mansion! "
 Subaru Natsuki | I'm exhausted... 
 Puck | You're quite the hard worker. 
 Subaru Natsuki | I'm not done yet. 
 Subaru Natsuki | I need to prepare dinner and clean the rooms. 
 Subaru Natsuki | I'll get back to work after a little break. 
 Puck | It's only your first day, and you're so spirited. 
 Subaru Natsuki | Well... 
 Subaru Natsuki | Some important things are at stake here. 
 Subaru Natsuki |" By the way, what kind of magic
does Emilia-tan use? "
 Puck | Technically, Lia isn't really a magic-user. 
 Puck | That goes for her contract with me, too. 
 Puck | She uses spirit arts. 
 Subaru Natsuki |" So those who use magic and
spirit arts are different... "
 Puck | Magic-users cast magic with their own mana, 
 Puck |" but those who use spirit arts draw
from mana in the atmosphere. "
 Subaru Natsuki | And how are those two different, Sensei? 
 Puck | Basically, it depends on whether you use a gate. 
 Subaru Natsuki | A gate? 
 Puck | Mana passes through a gate within your body. 
 Puck |" Through the gate, you both draw
mana in and expel it out. "
 Subaru Natsuki | I see, so it's like a spigot for MP... 
 Puck | You should also have one, Subaru. 
 Subaru Natsuki |" R-Really? Does that mean
I can use magic, too? "
 Puck | Want me to figure out your attribute? 
 Puck |" Magic-users are divided into fire, water,
wind, and earth attributes... "
 Subaru Natsuki | Whoa, it's totally a magic sound effect! 
 Puck | I know what your attribute is. 
 Subaru Natsuki | Yes! I've been waiting for this! 
 Subaru Natsuki | Is it the burning fire of passion? 
 Subaru Natsuki | Or a relaxed, cool-guy water type? 
 Subaru Natsuki |" Or maybe a gentle wind,
blowing across the plain? "
 Subaru Natsuki | Or is it solid, reliable earth? 
 EXTRA | Shadow 
 Puck | Shadow. 
 Subaru Natsuki | All rejected?! 
 Emilia | Wow, shadow? That's very rare. 
 Subaru Natsuki | What is shadow, anyway? 
 Subaru Natsuki | Weren't there only four attributes? 
 Subaru Natsuki | This is a category error! 
 Puck | In addition to the four basic attributes, 
 Puck | there's also shadow and light. 
 Subaru Natsuki | Is it actually some amazing ability? 
 Subaru Natsuki |" Like a talent only seen once
in five thousand years? "
 Emilia | With shadow magic, 
 Emilia |" you can obstruct an opponent's
vision, block sound, "
 Emilia | slow movements, and things like that. 
 Subaru Natsuki | It's just debuffs? 
 Puck | An easy one would be something like Shamac. 
 Emilia | That's a blinding spell, right? 
 Puck | Want me to show you? 
 Emilia | Wait, Puck... 
 Puck | Shamac! 
 Puck | Okay, that's it. 
 Puck | What'd you think? That was Shamac. 
